ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
272	358202.87	6708195.37	158	160	0.27	2.06	8.09	0.11	11	6.7	9.5	2.32	1.2	1.4	68.18	44.6	146.9	1.6	1.13	13.7	6.4	58.6	31.1	10.3	.	.	.	.	.	.
273	362072.5	6681196.78	359	362	0.18	3.59	8.32	0.25	16.4	7.6	16.09	2.09	1.5	0.9	11.52	40.5	99.6	2.1	0.05	17.2	9.4	53.9	29	17.1	.	.	.	.	.	.
274	355738.66	6657257.94	397	408	0.14	1.89	9.96	0.11	10	8.3	19.03	1.12	1.2	1.4	24.08	28.4	165.1	2.3	2.1	13.6	6.8	60.6	27.9	11.5	.	.	.	.	.	.
390	356043.7	6636299.33	576	579	0.21	4.89	10.5	0.27	18.7	7.8	25.77	0.2	1.4	1	15.2	57.4	134.9	1.6	1.54	19.9	11.4	53.7	29	17.2	.	.	.	.	.	.
276	357028.12	6627659.12	691	684	0.27	4.32	7.69	0.28	19.1	7.7	17.61	2.03	1.1	1.7	47.03	93.5	292	2.5	1.68	22.8	13.1	39.8	41.5	18.7	0.09	0.03	.	.	.	.
277	357836.55	6595032.22	1078	1079	0.24	10.23	11.39	0.52	27.5	7.4	40.98	1.6	0.07	1.09	15.77	83.9	192.9	2	9.84	27.8	16.6	56.7	26.6	16.7	.	.	.	.	.	.
278	357181.26	6576089.43	1207	1069	0.17	5.5	9.22	0.35	21.5	7.5	35.03	4.05	1.2	0.7	7.37	43.9	63.7	2	6.97	20	13.3	70.4	19.1	10.5	.	.	.	.	.	.
279	357460.41	6556070.9	851	911	0.16	3.28	12.59	0.15	8.8	7.5	51.6	4.54	1.1	0.4	21.57	67	77.5	2.1	7.8	16.1	6.9	77.3	20.1	2.6	.	.	.	.	.	.
280	357799.36	6535105.05	738	744	0.15	5.48	10.52	0.3	13.5	7	13.5	3.19	1.6	0.5	17.68	79.4	82.5	1.1	1.6	15.3	8.6	72.6	15.5	11.8	.	.	.	.	.	.
281	363571.89	6515525.91	647	651	0.11	3.6	11.61	0.18	19.9	7.1	15.02	2.93	1.2	2	38.54	54.4	203.1	1.8	1.34	21.7	.	24.2	50.8	25	.	.	.	.	.	.
282	366450.72	6494150.24	513	517	0.13	3.14	11.39	0.16	17	6.8	12.5	2.22	0.9	1.1	4.6	67.7	118.2	2.7	1.04	17.6	.	50	32.8	17.1	.	.	.	.	.	.
283	358491.87	6479634.73	864	807	0.23	3.74	11.41	0.19	22.2	7.4	14.1	1.55	1	1.4	9.61	82.1	143.1	2.9	0.01	21.5	.	24.9	48.7	26.4	.	.	.	.	.	.
284	364859.82	6456430.94	669	592	0.12	2.51	11.19	0.13	18	7.2	9.42	3	1.2	1.7	44.26	96.2	171.9	2.3	0.46	16.9	10.7	26.7	48	25.4	.	.	.	.	.	.
285	352374.61	6437236.25	588	537	0.09	2.51	9.71	0.15	19.8	7.5	9.9	4.74	0.9	1.7	10.77	91.4	158.2	2.8	0.01	22.2	10.3	34.4	47.2	18.4	0.11	0.07	.	.	.	.
286	360020.37	6412715.79	632	641	0.12	2.98	13.09	0.13	14.5	7.3	11.4	3.61	1.1	2.2	34.18	50.7	140	2.2	2.75	14.3	8.6	58	32.2	9.8	.	.	.	.	.	.
287	360639.91	6397543.36	722	729	0.11	2.09	11.56	0.1	14.1	7.4	11.4	3.61	1.4	1.4	17	51.6	69.6	2.4	0.01	14.2	8.5	42	42.5	15.5	.	.	.	.	.	.
288	363104.17	6380446.41	668	679	0.16	2.28	13.2	0.1	12.1	7.5	12.9	2.96	1.5	1.4	7.46	53.1	77.2	2.6	0.01	13.5	22.4	41.5	46.1	12.4	.	.	.	.	.	.
289	363949.38	6366384.19	603	618	0.06	1.65	10.74	0.09	13.4	6.8	10.86	2.44	1.4	1.5	14.92	65.3	68.9	2.5	0.01	13.2	8.2	49.7	36.6	13.6	.	.	.	.	.	.
290	360297.21	6339369.19	496	500	0.13	2.89	12.82	0.13	15.3	6.7	9.4	5.53	1.4	2.4	11.04	226.9	107.1	2.1	2.22	20.8	12.9	45.6	36.3	18	.	.	.	.	.	.
291	358906.86	6318190.95	467	473	0.09	1.82	8.38	0.13	12.5	6.6	6.45	1.86	1.3	2.4	69.71	149.9	65.7	0.2	1.9	12.8	7.8	60.3	22.9	16.8	.	.	.	.	.	.
292	368023.83	6297300.27	345	350	0.16	2.63	8.94	0.17	13.5	6.2	5.51	2.09	1.1	3	78.3	230.4	97.3	1.1	3.77	15.2	10.5	48.7	31.9	19.4	.	.	.	.	.	.
293	356796.29	6281601.06	347	344	0.09	1.64	8.65	0.11	14.1	6.4	4	1.1	0.2	1.6	166.21	125.8	111.1	1.7	0.74	15.1	6.9	57.2	24.7	18.2	0.09	0.07	.	.	.	.
294	360840.65	6258419.58	285	291	0.17	2.15	9.59	0.13	14.7	6	13.04	3.63	1.2	1.8	42.93	154.1	104.6	1.4	0.87	16.1	8.7	53.7	26.6	19.7	.	.	.	.	.	.
295	357728.13	6243261.45	269	269	0.08	1.23	11.92	0.06	10.1	6.3	12.34	3.52	0.2	1.1	39.25	87.7	32	0.8	0.11	8.2	4.1	77	11.6	11.4	.	.	.	.	.	.
296	365058.97	6217702.16	242	239	0.09	1.21	11.73	0.06	8.2	6.4	7.39	.	1.3	1.2	19.93	92	25	0.7	1.54	5.5	3.2	85.5	4	10.5	0.06	0.06	.	.	.	.
297	372915.38	6201693.21	224	228	0.05	1.16	11.25	0.06	8.4	6.8	7.28	3.52	1	1.5	55.81	128.7	43.8	0.9	0.94	7.2	4.3	79.2	12.4	8.4	.	.	.	.	.	.
298	369232.85	6178825.41	202	202	0.12	1.27	10.53	0.07	9.6	6.7	7.28	3.52	1.3	1.9	36.07	109.4	61.7	1.6	0.31	10.2	.	76.3	10.5	13.2	.	.	.	.	.	.
299	354127	6154878.16	220	222	0.08	0.87	8.38	0.06	9.1	6.7	7.28	3.52	1.4	2	49.1	107.5	44.9	1.1	0.3	8.4	4.8	78.1	15.4	6.4	.	.	.	.	.	.
300	364634.38	6141008.11	194	192	0.13	0.83	6.91	0.07	8.1	6.5	9.51	0.28	1.1	2.2	55.81	97.9	46.5	0.6	0.01	7.7	4.5	78	10.6	11.5	.	.	.	.	.	.
301	322034.07	6722198.55	179	190	18.84	0.98	5.5	0.05	21.8	8	21.49	4.06	47.2	1.9	19.55	43.9	204.1	1.8	0.65	27.3	14.7	11.4	44	44.6	0.13	0.04	.	.	.	.
302	336988.39	6702457.44	227	232	0.6	2.41	8.12	0.14	10.9	7.6	20.18	2.26	1.6	1.6	31.07	33.7	158.3	3.5	0.01	13.2	.	54.5	33.9	11.6	.	.	.	.	.	.
303	342934.94	6678616.6	194	198	0.26	1.16	11.23	0.06	9.6	7.4	10.7	2.82	1.4	1.1	27.48	44.9	121.5	1.4	0.01	8.4	3.3	69	21	10	.	.	.	.	.	.
304	333942.32	6663125.3	190	194	13.51	1.02	9.85	0.06	15.5	7.9	60.42	3.54	3.59	1.85	0.94	20.8	133.4	2.1	0.01	20.5	11.2	33.9	39	27.1	0.08	0.01	.	.	.	.
305	339487.39	6636140.96	418	419	0.28	2.94	10.02	0.17	18.3	7.4	20.2	5	1.2	1.4	27.01	36.5	170.4	1.7	0.01	17.8	7.4	49.2	30	20.8	.	.	.	.	.	.
313	351274.03	6477362.73	782	772	0.16	6.22	11.27	0.32	29.6	6.4	24.64	2.9	1.3	1.9	14.21	218.7	155.9	4.3	3.61	34	21.5	8.7	58.2	33.2	.	.	.	.	.	.
314	340121.95	6459510.02	1099	1113	0.27	3.25	9.91	0.19	23.1	6.5	12.59	5.19	3.5	0.8	14.62	128.6	93.4	5.6	0.24	26.7	19.8	12.2	52.3	35.5	0.13	0.2	.	.	.	.
316	358358.83	6422919.2	595	565	0.1	1.96	12.63	0.09	12.4	6.6	17.62	3.58	1.4	2.1	25.02	78.8	150.5	2.1	0.01	14.2	6.7	42.4	48.1	9.5	.	.	.	.	.	.
317	348091.44	6386836.04	751	761	0.08	2.28	10.5	0.13	13.1	6.6	9.6	3.5	1.2	1.9	11.24	103.2	98.7	2	0.01	13.1	6.7	38.7	47.9	13.4	.	.	.	.	.	.
318	338135.22	6376680.99	863	864	0.07	4.06	10.03	0.23	17.1	6.7	14.05	2.09	1.5	1.7	5.38	73.3	78.7	2	0.01	20.9	.	38.5	43.4	18.1	.	.	.	.	.	.
319	335929.72	6354151.04	686	687	0.1	5.27	10.72	0.28	25.2	6.6	13.4	3.6	1.3	2.5	44.77	177.9	106	3.5	2.86	30.6	18.4	23.3	49.1	27.5	.	.	.	.	.	.
320	338757.84	6338936.77	627	682	0.09	2.97	11.04	0.16	15	6.7	10.6	2.28	1.3	2	38.84	125	101.3	2.4	2.67	18.3	12.2	35.4	28.2	36.4	.	.	.	.	.	.
321	348477.51	6320510.23	546	553	0.06	1.79	9.54	0.11	9.5	7.4	7.28	3.52	1.2	1.5	42.83	114.5	47.3	1.1	1.42	9.3	6.2	78	14.6	7.4	.	.	.	.	.	.
322	343471.42	6292973.66	442	442	0.19	1.3	9.41	0.08	11.4	6.1	6.64	1.82	1.4	1.5	24.94	114.2	77.3	1.8	0.02	14.9	8	53.1	30.3	16.6	0.09	0.09	.	.	.	.
324	331109.74	6247386.21	332	338	0.05	1.24	10.31	0.07	6.9	6.7	6.42	2.31	0.2	1.1	29.13	86.9	26.8	0.8	0.32	7.5	4.1	81.2	8.8	10	.	.	.	.	.	.
325	342413.26	6226848.9	287	.	0.04	1.13	10.97	0.06	7.1	6.8	6.85	5.4	1.1	1.4	34.65	87.1	44.2	0.9	0.58	8.6	3.7	78.2	11.2	10.6	0.06	0.05	.	.	.	.
327	342963.04	6193914.84	258	258	0.05	0.73	8.42	0.05	7.8	6.9	5.91	2.16	1.5	1.5	22.19	60.4	31.8	0.9	0.01	7.1	.	83.9	9.9	6.2	.	.	.	.	.	.
328	343616.12	6170951.63	238	239	0.08	0.9	8.67	0.06	7.2	6.4	3.19	2.31	1.3	1.5	33.62	64.1	37.5	0.9	0.01	5	2.7	86.3	13.7	0	0.05	0.05	.	.	.	.
329	336324.51	6164347.09	247	250	0.12	1.31	10.89	0.07	8.5	6.7	4.48	3.52	1.4	1.7	49.67	85.2	29.8	1.1	0.2	6.6	3.3	79.4	0	20.6	.	.	.	.	.	.
330	344720.89	6134253.69	245	244	0.09	1.54	11.14	0.08	13.2	7.1	6.58	3.32	1.2	2.1	40.13	130.6	110.6	1.4	0.04	12.1	5.7	65.7	0	34.3	.	.	.	.	.	.
333	314936.82	6654861.62	214	210	0.47	1.17	8.5	0.08	9.7	7.3	29.4	0.28	1.5	1.1	25.68	51	109.3	1.9	0.02	10.3	4.1	63.8	26.7	9.5	0.06	0.01	.	.	.	.
334	326153.79	6628397.33	366	371	0.94	2.65	10.73	0.14	14	6.8	13.6	3.47	1.7	1.3	26.72	83	162.2	1.8	1.12	14.4	5.3	56	28.4	15.6	.	.	.	.	.	.
335	315026.93	6615022.32	377	382	0.23	1.71	9.26	0.11	9.64	7.7	10.8	0.32	0.03	1.29	30.03	74.1	140.3	1.8	1.67	10.2	3.7	69.6	18	12.3	.	.	.	.	.	.
336	318722.78	6592812.81	560	574	1.54	2.51	9.09	0.16	12.9	7.5	23.9	2.32	2.3	1	32.3	40.9	164.8	2.2	1.56	12.7	5.7	61.1	22.9	15.9	.	.	.	.	.	.
337	302508.48	6573026.77	600	702	1.04	3.41	9	0.22	19	7	29.3	5.58	2.1	3.3	34.56	42.9	277.7	3.2	2.23	27.8	9.7	23.5	57.8	18.7	.	.	.	.	.	.
340	310568.45	6517138.98	1421	1425	0.18	6.23	9.93	0.36	17.7	7.9	12.9	2.96	1.1	0.8	5.95	183.2	107.5	3	0.96	22	11.4	42	40.4	17.6	.	.	.	.	.	.
342	316152.47	6474608.25	1066	903	0.1	4.67	15.04	0.18	20.9	7.4	16.9	5.52	1.5	1.8	10.2	79	287.9	4	0.01	9.6	.	29.6	46.1	24.3	.	.	.	.	.	.
343	304247.81	6459884.72	671	859	0.17	4.82	7.76	0.36	15.5	7.3	26.3	7.53	1.2	2.4	83.1	70.9	172.5	2.6	9.76	13.2	.	53.2	28.3	18.5	0.1	0.04	.	.	.	.
344	307888.35	6436237.59	777	786	0.08	2.27	11.97	0.11	13.8	7.4	10.78	4.23	1.2	0.8	11.05	90.6	194.8	2.6	0.01	15	6.2	43.5	36.9	19.6	0.09	0.04	.	.	.	.
346	326290.24	6358536.99	793	805	0.12	5.25	9.93	0.31	20.4	6.7	12.5	2.22	1.5	1.5	5.19	164.5	124.3	3	1.7	24.2	.	46.8	52.1	1.1	.	.	.	.	.	.
347	323251.74	6333010.66	766	767	0.14	2.76	12.12	0.13	13.3	7.7	13.8	0.28	1.7	0.6	5.1	63.9	75.5	1.7	2.4	11.7	7.6	75	17.7	7.3	.	.	.	.	.	.
348	323107.77	6317897.91	698	703	0.1	1.63	8.02	0.12	9.6	6.9	7.55	0.67	1.3	1.6	38.84	100.7	51.2	1	4.38	11.7	5.6	79.6	13.4	7	.	.	.	.	.	.
349	323918.45	6296466.95	549	553	0.08	1.22	11.78	0.06	7.7	6.3	7.36	2.09	1	1.2	16.87	87.7	31	1.2	0.77	9	4.8	75.5	13.4	11.1	.	.	.	.	.	.
350	313421.09	6284488.11	508	509	0.1	1.27	4.62	0.16	10.7	6.4	9.36	0.28	0.2	1.7	13.7	51.6	36.7	0.1	0.2	9.6	5.6	75.7	12.8	11.5	0.08	0.06	.	.	.	.
351	311319.28	6250933.95	383	384	0.06	0.62	7.22	0.05	7.4	6.7	14.85	2.96	1.2	1.3	21.98	63	24.7	0.7	0.03	6	3.8	83.6	9.2	7.2	0.06	0.06	.	.	.	.
352	316141.01	6234886.63	347	346	0.16	1.23	10.21	0.07	7.8	6.5	9.51	0.28	1.1	1.4	49.58	95.9	68.3	1.5	0.61	10.9	4.2	70.6	17.5	11.9	.	.	.	.	.	.
353	312199.39	6218220.17	338	338	0.11	1.45	9.34	0.09	7.4	6.4	7.01	7.93	0.2	1.7	75.44	124.1	64.4	1	1.23	8.5	4.7	77.7	12.2	10.1	0.07	0.06	.	.	.	.
354	322774.56	6196569.08	296	295	0.06	0.68	6.53	0.06	7.2	6.4	5.77	5.4	0.9	1.3	37.02	57.5	38.3	1.1	0.01	5.3	.	86.6	7.7	5.7	.	.	.	.	.	.
355	313315.45	6173792.07	291	289	0.06	0.88	8.55	0.06	7.4	6.5	7.28	3.52	1.1	1.4	39.76	83.4	36.5	0.8	0.25	6.8	3.8	83.3	7.1	9.6	0.06	0.07	.	.	.	.
356	314626.09	6153623.93	276	281	0.04	0.78	9	0.05	8.1	6.6	7.28	3.52	1	1.2	35.98	75.8	25	1.1	0.29	6.9	4	83.5	5.1	11.4	0.06	0.07	.	.	.	.
357	314547.33	6135107.22	263	265	0.08	.	12.5	0.09	14.1	6.9	3.9	0.86	1.3	1.5	49.29	53.7	91.7	1.5	0.01	12.2	7.1	63.9	23.5	12.6	.	.	.	.	.	.
360	303239.8	6620640.32	323	327	0.36	2.62	10.32	0.15	12.2	7.6	16.5	4.1	1.1	1.4	36.17	6.7	193.3	1.8	1.38	14.4	6.8	65.3	21.5	13.2	.	.	.	.	.	.
361	292241.24	6594051.38	418	419	0.23	2.51	13.24	0.11	15.8	7.2	18.97	7.29	1.3	2	40.32	29.6	200.9	2.6	1.39	16	7.8	50.7	29.3	20	.	.	.	.	.	.
362	304823.83	6586069.64	525	536	0.18	1.91	12.32	0.09	13.39	7.4	28.43	2.67	0.04	1.21	25.4	11.1	138.6	2.7	0.6	15.7	8	47.4	38.9	13.6	0.08	0.01	.	.	.	.
363	299754.13	6554098.11	708	727	0.18	2.67	9.71	0.16	12.55	8.2	34.02	1.48	0.03	0.86	2.83	13.7	81.9	3.1	0.01	15.3	8.8	52.6	41.7	5.8	.	.	.	.	.	.
364	299158.85	6536650.69	925	940	0.15	2.8	9.54	0.17	15	7.1	35.4	7.29	0.9	1.1	4.91	5.1	127.6	1.7	0.01	17.3	9.3	44.7	33.4	21.9	0.09	0.01	.	.	.	.
365	292274.01	6516661.6	1014	1023	0.13	1.98	11.49	0.1	6.68	6.6	19.02	2.36	0.03	1.03	35.98	75.8	25	1.1	0.29	6.9	.	75.1	14.2	10.7	.	.	.	.	.	.
366	300315.59	6496947.28	1012	1011	0.14	.	8.42	0.13	14.7	6.2	8.57	4.27	1.1	1.1	121.23	216.2	161.2	2.1	3.68	22.6	.	19.2	56.8	24	0.08	0.05	.	.	.	.
367	295007.18	6475753.8	680	685	0.16	2.67	10.62	0.15	17.2	7.7	17.6	6.7	1.2	1.2	12.28	48.1	185.5	3	0.01	19.3	9.5	38	47.8	14.3	0.07	0.07	.	.	.	.
369	295427.46	6437040.03	567	546	0.14	2.81	9.05	0.18	13.6	7.3	12.35	3	1	1.5	62.98	64.4	113.5	1.3	2.33	14.4	.	57.6	28.8	13.6	.	.	.	.	.	.
370	300698.51	6315617.77	801	804	0.07	1.51	10.34	0.09	8.3	7.4	9.98	2.16	1.2	1.1	11.14	51.9	30.6	1.1	0.01	8.4	4.3	81.8	11.1	7.1	.	.	.	.	.	.
372	256688.95	6610529.25	211	207	5.05	1.74	11.59	0.09	8.6	6.9	13.7	5.5	6.1	1.1	26.16	6	161.7	1.3	1.22	12.5	.	53.6	39	7.4	.	.	.	.	.	.
373	271612.19	6610071.71	279	274	0.36	2.12	10.25	0.12	13.7	7.1	21.84	0.86	1.3	1.1	38.34	6.1	189.7	2.4	1.16	14.2	.	51.5	33.9	14.6	.	.	.	.	.	.
374	278760.28	6590394.23	455	444	0.37	3.01	10.93	0.16	16	6.8	9.42	3	1.3	1.5	36.26	32.1	169	1.9	2.46	16.4	.	58.3	31.3	10.3	.	.	.	.	.	.
375	273995.79	6573164.52	684	681	0.13	2.59	10.81	0.14	9.1	7.9	41	5	1.1	0.6	37.11	20.4	92.7	1.7	0.01	11.3	.	71.4	25.9	2.8	.	.	.	.	.	.
376	284724.37	6544881.61	1014	1006	0.15	2.38	13.55	0.1	14.8	8	11.4	3.61	1.4	0.6	2.74	0	85.4	1.8	0.01	21.1	10.7	29.1	55.3	15.6	.	.	.	.	.	.
377	281465.52	6528076.84	1097	1103	0.11	1.46	9.44	0.09	8.9	7.2	11.12	1.94	1.7	0.6	5.1	0	67.2	1.4	0.01	9.1	.	74.4	18.7	6.9	.	.	.	.	.	.
378	270532.17	6513492.98	373	373	0.16	2.55	10.56	0.14	10	7	10.7	3.4	1.4	1	37.3	52.9	147.4	2.2	2.03	14.1	.	63.7	29.3	7.1	.	.	.	.	.	.
379	281067.79	6495185.77	382	387	0.13	2.31	9.59	0.14	9.9	7.1	9.3	2.98	1.3	1.1	53.16	69.7	134.9	2.3	2.4	10	4	68	28	4	.	.	.	.	.	.
380	270093.88	6473571.28	397	399	0.15	1.5	9.68	0.09	14.2	8	17.68	3.4	1.2	2.1	32.58	43.1	201.1	2	1.84	17.1	.	45.8	46.2	8	0.05	0.02	.	.	.	.
381	277578.34	6454922.98	455	457	0.17	1.4	9.03	0.09	9.5	6.9	6.46	3.4	1.3	0.8	41.83	41.9	124.7	1.8	0.07	10.5	3.7	61.1	29.7	9.1	.	.	.	.	.	.
382	257921.06	6610370.74	215	212	1.73	1.73	11.13	0.09	11.5	7	9.5	2.32	3.2	1.6	32.3	34.7	151.6	1.6	1.6	14.3	.	58.5	33	8.5	0.08	0.03	.	.	.	.
383	246082.72	6589469.07	230	219	0.55	1.81	8.08	0.13	13.39	7.2	14.7	3.74	1.6	1.5	42.68	11.2	191.1	2	1.36	17.1	.	53	38.5	8.5	.	.	.	.	.	.
384	250409.82	6572977.82	224	208	0.94	0.87	10.12	0.05	7.6	7.4	9.3	2.98	4.1	1.2	24.17	49.3	174.6	1	0.21	10.2	.	62.2	30.6	7.2	.	.	.	.	.	.
385	235888.31	6553600.88	262	264	1.18	1.55	11.22	0.08	10.5	7.1	8.95	4.23	2.7	1.3	44.29	28.8	165.8	1.5	0.6	14	.	55.7	40.2	4	.	.	.	.	.	.
386	251686.09	6530851.08	267	264	0.11	1.2	11.6	0.06	9.2	7.5	7.98	4.06	1.4	0.9	40.32	18.8	131.7	1.7	0.01	11.5	.	64	26.3	9.7	0.05	0.02	.	.	.	.
387	251673.61	6518741.32	271	370	0.09	1	8.26	0.07	9.4	7.5	11.09	2.98	1.5	0.8	36.17	6.7	118.1	1.6	0.27	10.5	.	69.3	23.8	6.9	.	.	.	.	.	.
388	260311.31	6503994.26	286	284	0.14	1.74	8.41	0.12	11.4	7.5	11.5	4.4	1.6	1.4	63.08	61	134.9	1.6	0.02	16.1	.	58.6	31.3	10.1	0.07	0.04	.	.	.	.
389	244261.6	6468474.59	343	343	3.68	1.67	9.66	0.1	13.6	8	24	2.32	7.1	2.7	25.31	33.8	146.9	2.4	1.05	17	.	58	33.2	8.8	.	.	.	.	.	.
390	259768.22	6551775.97	242	259	0.83	1.28	12.4	0.06	6.2	7.2	13.2	1.94	1.3	1.3	56.85	31.7	129.9	1.6	5.8	7.3	.	76.5	15	8.5	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
