ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
193	420262.09	6480316.16	318	325	0.09	2.76	14.54	0.11	17.8	6.9	7.72	5.12	0.9	2.1	28.32	76.5	184.1	1.2	0.19	19.8	10.4	17.4	59.2	23.5	.	.	1544	614.4	207	819
194	419729.09	6457031.74	324	329	0.11	1.61	13.34	0.07	16	6.5	10.8	0.92	1.3	1.7	17.89	20.1	129	1.3	0.01	15.4	8.5	28.1	55.6	16.4	0.17	0.05	2160	110.4	299	663
195	419886.44	6437078.79	323	327	0.05	1.65	19.16	0.05	9	7	6.3	1.9	1.1	0.8	36.19	84.4	123.5	1.6	0.16	10.2	6	69.3	0	30.7	.	.	1260	228	253	312
196	422555.73	6416998.92	306	308	0.13	2.37	13.76	0.1	11.5	6.7	9.9	4.74	0.3	1.5	10.53	79.1	135.7	2.2	0.01	20.2	11.3	35.3	46.6	18.1	0.15	0.09	1980	568.8	69	585
197	424187.59	6394252.6	276	277	0.15	1.71	10.12	0.1	12.81	6.46	8.96	3.25	0.04	2.02	15.95	62.4	157.9	1.4	0.5	17.8	9.4	51.6	36.1	12.3	.	.	1792	390	9.2	787.8
198	420123.24	6377094.15	304	307	0.14	2.33	11.55	0.12	10	5.99	6.44	2.44	1.1	1.7	25.45	133.3	126.2	1.4	0.76	19.1	10.3	46.4	35.1	18.6	0.12	0.13	1288	292.8	253	663
199	416997.72	6363301.56	293	280	0.08	1.24	10.39	0.07	9.49	6.93	4.33	0.96	0.03	1.42	13.39	145.9	44.6	0.1	0.01	10	5.6	72.9	19.9	7.2	.	.	866	115.2	6.9	553.8
200	425171.03	6344753	263	257	0.1	2.08	10.28	0.12	13.18	6.19	7.25	2.11	0.03	2.4	13.29	98.3	93.6	0.7	0.29	13.9	8.2	64.1	22	13.9	0.1	0.09	1450	253.2	6.9	936
201	417917.15	6326745.97	268	283	0.15	2.69	12.46	0.13	15	6.66	10.38	1.92	0.04	2.91	192.38	170.9	150.3	1.6	27.58	22.6	.	46.6	38.5	14.9	.	.	2076	230.4	9.2	1134.9
202	423547.62	6312202.42	242	250	0.09	2.03	12.01	0.1	11.9	5.31	5.58	1.54	0.03	1.54	33.02	114.7	65.7	0.2	0.01	12.7	7.8	69.1	19.8	11.1	0.11	0.09	1116	184.8	6.9	600.6
203	420675.52	6277073.31	201	209	0.08	2.03	10.68	0.11	12.6	5.45	6.64	1.82	0.03	1.87	26.68	124.6	89.7	0.4	0.01	13.1	8.3	60	26.3	13.6	0.11	0.11	1328	218.4	6.9	729.3
204	432630.41	6256210.77	161	161	0.5	1.52	8.67	0.1	10.94	5.98	4.82	1.62	0.75	1.72	16.66	151.9	106.1	0.1	0.48	13.3	7.1	65.3	20.8	14	.	.	964	194.4	172.5	670.8
205	415059.81	6233150.92	173	176	0.3	1.89	9.96	0.11	13.5	6.3	9.55	1.18	0.6	1.7	122.05	289.1	129.8	1.6	1.12	17.1	8.3	55.1	28.7	16.2	.	.	1910	141.6	138	663
206	415498.84	6218452.95	166	165	0.17	1.81	10.5	0.1	11	6.2	8.36	3.44	0.3	1.7	30.36	196.4	76.9	0.3	0.64	12.2	.	68.8	18.4	12.8	0.08	0.11	1672	412.8	69	663
207	413075.1	6197489.78	166	165	0.12	1.29	10.73	0.07	11.2	6.3	9.36	2.72	1.3	1.5	20.04	132.8	55.1	0.3	0.01	12.4	.	71.2	15.5	13.3	.	.	1872	326.4	299	585
208	421888.16	6180591.73	149	152	0.11	1.26	6.65	0.11	12.6	6.2	11.64	2.8	1.3	1.5	17.68	242.2	109.4	1.5	0.78	13.9	6.6	66.3	18.2	15.5	0.09	0.12	2328	336	299	585
209	414970.18	6156712.11	146	145	0.09	1.12	7.21	0.09	11.2	6.4	9.02	1.1	1.1	1.6	34.45	227.8	70.8	1	0.01	12.2	6.1	73	14.8	12.2	0.08	0.09	1804	132	253	624
210	415114.34	6136351.04	147	145	0.16	2.18	8.45	0.15	13.1	6.4	7	2.8	1.6	2.2	56.73	134.1	87.9	0.6	2	15.1	.	62.3	24.6	13.1	0.1	0.12	1400	336	368	858
211	393546.63	6719911.08	452	447	0.28	4.17	10.36	0.2	15.7	7.7	10.17	1.75	1.3	1	15.54	23.2	223.6	3.7	0.76	19.3	.	49.6	15.9	34.6	.	.	2034	210	299	390
212	401410.3	6690743.17	760	757	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
213	400509.73	6673860.22	698	864	0.18	4.58	9.83	0.27	19.16	7.3	20.64	1.94	1.4	1	6.03	94.3	115.5	2.2	0.81	18.2	14.3	39.9	35.8	24.3	.	.	.	.	.	.
214	388211.04	6657911.83	919	911	0.15	2.26	10.94	0.12	9.95	7.4	14.1	1.55	1.2	0.7	8.08	18.8	95.9	0.8	0.01	9.6	.	62.2	22.9	14.9	0.06	0.04	.	.	.	.
