ID_2	Xt	Yt	MOS	pH	ARC
81	504966.36	6496753.99	2.21	7	23.1
33	560453.58	6296710.81	2.22	5.8	23.3
9	585406.53	6575712.38	2.22	6	30.1
119	487791.2	6235224.29	2.24	6.7	10.4
50	534776.97	6267747.44	2.24	5.74	15.9
118	476134.61	6246140.01	2.24	5.48	16.3
157	439227.16	6596823.36	2.26	6.6	27.6
214	388211.04	6657911.83	2.26	7.4	14.9
257	374614.17	6394682.13	2.26	7.4	12.4
48	543884.12	6320334.12	2.27	6.1	22.9
38	540148.34	6525651.17	2.27	6.9	26.2
344	307888.35	6436237.59	2.27	7.4	19.6
288	363104.17	6380446.41	2.28	7.5	12.4
12	578393.83	6514829.82	2.28	6	25.6
133	457980.52	6478448.42	2.28	6.8	23.3
317	348091.44	6386836.04	2.28	6.6	13.4
111	477386.81	6397106.59	2.29	6.2	24.4
162	437738.53	6502293.25	2.29	7.2	23.2
83	503024.7	6459416.44	2.29	7	0.1
76	497504.29	6595467.86	2.3	6.2	12.3
104	472449.69	6531217.66	2.3	7.6	24.4
24	560549.49	6488512.66	2.3	5.8	24.3
89	500780.99	6333918.03	2.3	5.6	18.8
95	500274.48	6213317.47	2.31	7.6	16.7
78	496547.77	6554849.01	2.31	7.4	25
142	465263.67	6296646.01	2.31	5.69	12.9
379	281067.79	6495185.77	2.31	7.1	4
22	559369.85	6522721.97	2.32	5.8	32.4
198	420123.24	6377094.15	2.33	5.99	18.6
147	460561.64	6198267.71	2.33	6.3	17.2
155	430584.39	6631844.69	2.33	6.8	25.1
141	450952.97	6311663.16	2.35	5.59	20.4
20	566036.41	6556136.64	2.36	6.4	33.4
123	452452.95	6685685.02	2.37	6.3	29
196	422555.73	6416998.92	2.37	6.7	18.1
158	444384.32	6572176.24	2.37	6.7	24.9
376	284724.37	6544881.61	2.38	8	15.6
57	516398.81	6523475.26	2.39	7	26.5
72	519430.2	6208789.74	2.39	6.4	22
138	460815.29	6380175.87	2.39	7.2	14.9
233	401905.27	6279373.63	2.4	6.5	15.4
90	490612.02	6315769.43	2.4	5.81	12
117	481424.93	6268437.49	2.41	6.4	17.5
302	336988.39	6702457.44	2.41	7.6	11.6
58	526721.79	6505980.35	2.43	6.9	29.5
65	522161.5	6361885.51	2.44	6.5	16.7
30	558959.39	6356407.25	2.44	6.5	30.1
261	374332.38	6317590.17	2.45	6.4	19
113	478417.9	6357823.02	2.46	6.9	18.7
106	480565.52	6497231.48	2.47	6.9	24.3
161	442482.7	6521238.9	2.48	7.4	25.1
190	419639.81	6535326.89	2.5	6.9	27.5
285	352374.61	6437236.25	2.51	7.5	18.4
361	292241.24	6594051.38	2.51	7.2	20
336	318722.78	6592812.81	2.51	7.5	15.9
284	364859.82	6456430.94	2.51	7.2	25.4
60	517747.76	6451336.03	2.51	6.5	24.3
129	462475.69	6557023.01	2.51	7.2	23.3
163	437197.36	6476251.34	2.55	6.6	23.2
378	270532.17	6513492.98	2.55	7	7.1
242	365386.79	6695977.78	2.56	6.9	26.9
375	273995.79	6573164.52	2.59	7.9	2.8
5	601138.47	6353446.4	2.6	6.9	28.8
15	581920.37	6376827.26	2.6	6.7	24
360	303239.8	6620640.32	2.62	7.6	13.2
8	589808.18	6593000.87	2.63	6.9	35.7
292	368023.83	6297300.27	2.63	6.2	19.4
154	433488.84	6656235.7	2.63	6.7	26.5
334	326153.79	6628397.33	2.65	6.8	15.6
160	439488.01	6534812.88	2.65	7	25.3
102	478336.13	6581409.06	2.66	7.4	28.8
105	479440.8	6520630.34	2.66	7.4	22
45	548155.43	6373990.13	2.66	6.6	19.6
49	541060.12	6295327.98	2.66	5.89	21.4
216	401699.9	6616495.67	2.67	7.2	24.1
367	295007.18	6475753.8	2.67	7.7	14.3
363	299754.13	6554098.11	2.67	8.2	5.8
51	548234.61	6259178.19	2.68	5.51	20.9
56	518981.65	6539151.93	2.69	7.6	36.7
218	398262.26	6576561.37	2.69	6.9	22.7
201	417917.15	6326745.97	2.69	6.66	14.9
112	477023.58	6378135.27	2.7	6.6	14.1
221	402114.27	6516158.45	2.7	6.4	26.9
10	584319.93	6552571.38	2.71	6.6	32.7
246	382613.13	6619021.46	2.71	6.8	26
34	561826.72	6277805.93	2.72	5.5	19.1
63	521616.09	6394127.28	2.73	6.7	22.6
347	323251.74	6333010.66	2.76	7.7	7.3
193	420262.09	6480316.16	2.76	6.9	23.5
43	541745.02	6421084.4	2.77	6.2	21.4
7	587501.2	6615272.45	2.78	6.7	33.6
18	580626	6317237.45	2.78	7.1	37.5
364	299158.85	6536650.69	2.8	7.1	21.9
369	295427.46	6437040.03	2.81	7.3	13.6
64	523663.16	6374579.7	2.83	6.3	23.1
259	371612.33	6361512.93	2.83	6.4	12.9
96	501314	6200115.09	2.86	7.3	18
290	360297.21	6339369.19	2.89	6.7	18
110	480716.92	6417424.43	2.9	6.6	21.6
37	540779.77	6533414.79	2.91	6.2	29.9
251	379912.81	6513834.93	2.93	6.9	29.7
82	493626.25	6469272.39	2.93	6.8	26.7
305	339487.39	6636140.96	2.94	7.4	20.8
191	418820.67	6517895.2	2.94	6.7	23.4
156	439114.39	6616771.45	2.94	7.2	22.5
29	561287.96	6377056.62	2.94	6	18.6
186	423666.86	6616209.04	2.94	6.2	31.5
320	338757.84	6338936.77	2.97	6.7	36.4
286	360020.37	6412715.79	2.98	7.3	9.8
6	601798.13	6344095.95	2.98	7.4	25.2
3	596537.13	6390517.74	2.98	7.4	24
128	459951.17	6581355.85	2.98	7.5	23.8
187	418240.45	6593812.04	3	5.9	27.8
126	463017.16	6617130.56	3	7.3	27.7
14	584191.34	6397970.97	3	5.6	29.3
4	595665.51	6380483.6	3.01	6.1	28.5
374	278760.28	6590394.23	3.01	6.8	10.3
166	436267.75	6422024.45	3.01	6.6	21.1
255	379355.97	6436677.28	3.01	7.1	25.3
250	379858.94	6542664.31	3.05	7.01	26.23
167	443077.86	6398613.19	3.06	6.8	17.5
188	414895.03	6575416.09	3.09	7	27.3
86	503837.23	6399236.74	3.1	6.2	36.9
32	561075.51	6317869.86	3.11	6.5	26.6
39	544374.11	6494569.02	3.11	6.4	24
84	491398.68	6442386.3	3.11	6.9	20.2
282	366450.72	6494150.24	3.14	6.8	17.1
185	415617.58	6642028.94	3.16	7.1	25.4
183	418050.85	6676477.99	3.16	6.8	27.4
252	378648.57	6496538.18	3.2	7	27.2
130	456426.16	6528027.06	3.22	6.6	26.4
253	378883.18	6476585.09	3.22	7.1	26.2
314	340121.95	6459510.02	3.25	6.5	35.5
150	448405.03	6145930.74	3.26	7.7	23.6
254	373300.19	6454148.92	3.26	7.2	24.7
279	357460.41	6556070.9	3.28	7.5	2.6
94	502250.4	6228811.57	3.3	6.6	15.7
71	521364.08	6242214.02	3.31	6.4	18.9
99	467093.76	6665903.52	3.34	7.2	21
35	540132.48	6572395.39	3.35	6.8	37.4
192	419416.76	6496935.98	3.36	6.7	22.1
337	302508.48	6573026.77	3.41	7	18.7
98	470472.31	6684993.25	3.48	6.5	13.1
124	454630.37	6650994.26	3.49	6.6	25.7
47	545162.87	6334934.06	3.49	6.8	20.7
181	409646.23	6716651.09	3.58	8	20.2
77	498859.46	6582924.35	3.58	6	34
273	362072.5	6681196.78	3.59	7.6	17.1
281	363571.89	6515525.91	3.6	7.1	25
245	377040.03	6636194.96	3.64	7	23.4
42	532245.03	6442189.31	3.66	6.8	24
70	515660.94	6259661.03	3.69	6.7	12.7
219	391757.12	6558626.52	3.72	6.5	36.1
283	358491.87	6479634.73	3.74	7.4	26.4
108	481351.78	6454470.98	3.78	6.6	29.1
28	562506.2	6396998.1	3.81	6.7	24.3
151	429559.32	6713097.28	3.81	7.6	19.1
41	537104.55	6461968.08	3.86	6.6	25.6
27	562125.92	6417161.8	3.98	6.1	23.9
318	338135.22	6376680.99	4.06	6.7	18.1
19	562987.43	6573479.28	4.1	6.8	31.2
215	397694.75	6636408.88	4.1	6.8	28.6
211	393546.63	6719911.08	4.17	7.7	34.6
184	414909.64	6656060.91	4.18	6.9	26.9
189	408415.59	6559530.63	4.23	6.9	31.3
182	414484.44	6691598.27	4.26	7.7	18.4
260	383588.56	6341232.69	4.31	6.5	27.5
276	357028.12	6627659.12	4.32	7.7	18.7
248	379647.2	6574478.26	4.33	6.7	19.5
230	406179.76	6343826.65	4.37	5.75	11
17	584591.65	6335073.9	4.44	6	27.5
2	603163.55	6576899.24	4.48	6.6	30.8
213	400509.73	6673860.22	4.58	7.3	24.3
11	582795.8	6536823.17	4.66	6	33.2
342	316152.47	6474608.25	4.67	7.4	24.3
241	375837.03	6714323.16	4.68	6.5	22.4
249	377951.96	6556394.26	4.76	6.9	16.1
343	304247.81	6459884.72	4.82	7.3	18.5
390	356043.7	6636299.33	4.89	7.8	17.2
217	398072.08	6596511.07	5.03	6.1	26.9
346	326290.24	6358536.99	5.25	6.7	1.1
319	335929.72	6354151.04	5.27	6.6	27.5
280	357799.36	6535105.05	5.48	7	11.8
278	357181.26	6576089.43	5.5	7.5	10.5
313	351274.03	6477362.73	6.22	6.4	33.2
340	310568.45	6517138.98	6.23	7.9	17.6
1241	381213.78	6709303.8	6.59	7.2	5.3
